GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,B08AA1970,B08AA1980,B08AA1990,B08AA2000,B08AA2010,B08AB1970,B08AB1980,B08AB1990,B08AB2000,B08AB2010,B08AC1970,B08AC1980,B08AC1990,B08AC2000,B08AC2010,B08AD1970,B08AD1980,B08AD1990,B08AD2000,B08AD2010,B08AE1970,B08AE1980,B08AE1990,B08AE2000,B08AE2010,B08AF1970,B08AF1980,B08AF1990,B08AF2000,B08AF2010,B08AG1970,B08AG1980,B08AG1990,B08AG2000,B08AG2010,B08AH1970,B08AH1980,B08AH1990,B08AH2000,B08AH2010,B08AI1970,B08AI1980,B08AI1990,B08AI2000,B08AI2010,B08AJ2000,B08AJ2010
"G5101830","Virginia","51","510","Sussex County","183","1830",4210,4224,4253,4550,4747,7247,6635,5955,7769,7023,5,2,11,15,22,0,0,1,0,0,0,0,1,2,6,1,0,4,3,11,1,0,0,0,3,0,2,1,0,0,0,11,22,80,182,84,92
"G5101850","Virginia","51","510","Tazewell County","185","1850",38568,48979,44454,42886,42868,1194,1238,1196,1020,1333,10,56,48,63,55,14,7,5,25,2,9,32,9,23,41,1,133,77,53,52,3,0,16,15,12,4,0,8,0,2,13,66,147,225,281,276,427
"G5108100","Virginia","51","510","Virginia Beach city","810","8100",154823,227454,316408,303681,296670,15693,26266,54671,80593,85935,186,589,1350,1441,1637,172,294,582,695,721,79,456,1172,1557,2238,882,4791,12376,14553,17481,29,298,720,924,1215,29,35,152,94,147,213,2016,5638,9598,13836,11677,17656
"G5101870","Virginia","51","510","Warren County","187","1870",14342,19933,24646,29280,34144,933,1186,1292,1526,1736,4,17,42,76,124,11,8,6,6,16,0,0,14,43,55,0,7,11,19,104,3,0,9,20,51,1,19,0,1,6,7,30,122,202,509,406,819
"G5101910","Virginia","51","510","Washington County","191","1910",40027,45532,45081,49854,53249,775,829,682,676,690,11,22,28,56,90,8,0,8,9,9,1,19,9,42,53,1,0,6,28,21,10,0,13,12,19,0,0,1,4,1,2,85,59,120,349,296,384
"G5108200","Virginia","51","510","Waynesboro city","820","8200",15564,13899,16681,16877,17274,1094,1338,1749,1945,2229,16,12,34,59,57,3,6,3,4,7,5,14,9,28,16,13,0,5,8,16,5,11,8,8,13,0,0,0,3,2,7,49,60,275,710,306,681
"G5101930","Virginia","51","510","Westmoreland County","193","1930",6760,8607,10257,10936,11501,5361,5335,5104,5164,4891,2,31,30,45,72,4,16,7,5,5,6,5,14,11,19,2,0,8,16,40,1,18,19,5,3,0,5,1,1,2,6,24,40,314,530,216,390
"G5108300","Virginia","51","510","Williamsburg city","830","8300",7867,8587,9368,9543,10407,1156,1031,1754,1601,1968,1,8,24,30,38,10,58,19,24,25,14,65,100,122,245,8,6,47,67,55,1,27,65,58,174,0,0,2,6,4,12,88,151,368,649,176,489
"G5108400","Virginia","51","510","Winchester city","840","8400",13316,18176,19453,19355,19532,1308,1795,2199,2470,2864,7,8,26,51,93,4,7,25,56,19,0,60,37,79,107,0,6,8,30,100,1,45,26,32,62,0,7,8,5,3,7,113,165,996,2612,504,800
"G5101950","Virginia","51","510","Wise County","195","1950",35052,42729,38674,38870,38561,860,881,713,713,2137,16,57,36,53,53,5,6,3,5,6,0,0,8,9,30,3,37,25,35,28,9,0,8,14,9,0,5,0,1,0,2,148,106,166,242,245,385
"G5101970","Virginia","51","510","Wythe County","197","1970",21289,24518,24471,26429,27790,820,944,880,791,818,6,23,29,43,40,4,6,0,3,8,4,0,12,24,15,8,17,25,20,21,2,0,7,8,8,0,0,4,1,3,6,14,38,118,186,161,344
"G5101990","Virginia","51","510","York County","199","1990",28162,28806,34487,45038,50031,4803,6118,6613,7533,8751,28,33,107,184,237,53,27,75,113,149,5,84,139,293,581,83,78,203,276,434,10,90,197,540,984,4,5,19,38,34,55,222,582,1113,1946,1128,2243
"G5300010","Washington","53","530","Adams County","001","0010",11800,11475,9100,10672,11703,46,12,31,46,109,33,115,63,109,356,55,16,20,15,21,10,0,8,8,18,2,0,25,18,28,0,13,12,9,5,0,0,3,1,1,68,1636,4341,5096,5951,451,532
"G5300030","Washington","53","530","Asotin County","003","0030",13684,16643,17136,19650,20392,14,22,38,39,92,71,57,256,236,280,2,0,6,21,6,7,0,20,13,29,3,0,24,20,28,2,45,24,26,14,1,0,5,1,21,15,56,96,165,227,363,521
