GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,B08AA1970,B08AA1980,B08AA1990,B08AA2000,B08AA2010,B08AB1970,B08AB1980,B08AB1990,B08AB2000,B08AB2010,B08AC1970,B08AC1980,B08AC1990,B08AC2000,B08AC2010,B08AD1970,B08AD1980,B08AD1990,B08AD2000,B08AD2010,B08AE1970,B08AE1980,B08AE1990,B08AE2000,B08AE2010,B08AF1970,B08AF1980,B08AF1990,B08AF2000,B08AF2010,B08AG1970,B08AG1980,B08AG1990,B08AG2000,B08AG2010,B08AH1970,B08AH1980,B08AH1990,B08AH2000,B08AH2010,B08AI1970,B08AI1980,B08AI1990,B08AI2000,B08AI2010,B08AJ2000,B08AJ2010
"G0100010","Alabama","01","010","Autauga County","001","0010",17511,24846,27144,35221,42855,6911,7224,6845,7473,9643,4,97,68,183,219,14,20,42,39,41,1,0,12,24,67,2,6,16,28,82,2,8,14,36,123,0,0,3,2,7,15,58,78,244,647,405,869
"G0100030","Alabama","01","010","Baldwin County","003","0030",48650,65922,84565,122366,156153,10569,12035,12640,14444,17105,84,432,629,737,1179,18,18,23,35,61,4,0,30,108,303,12,6,22,101,236,7,35,34,57,83,2,0,10,12,31,36,108,327,1001,4333,1466,2723
"G0100050","Alabama","01","010","Barbour County","005","0050",12134,13661,14118,14887,13180,10389,11003,11194,13451,12875,10,21,45,120,109,6,0,1,6,2,2,0,9,23,14,0,28,1,1,7,0,8,9,13,15,0,12,0,4,4,2,23,40,308,987,212,258
"G0100070","Alabama","01","010","Bibb County","007","0070",9953,12040,13052,15966,17381,3850,3675,3478,4624,5047,1,2,25,40,64,0,3,0,0,0,1,0,5,1,4,1,0,0,5,4,1,0,0,1,0,2,3,2,1,0,3,0,14,72,212,107,203
"G0100090","Alabama","01","010","Blount County","009","0090",26205,35668,38397,48512,53068,629,661,521,606,761,15,98,133,238,298,2,0,0,2,1,0,0,2,6,27,1,0,8,23,33,1,2,10,16,8,0,5,0,0,6,0,25,177,1089,2426,519,684
"G0100110","Alabama","01","010","Bullock County","011","0110",3857,3431,3036,2958,2507,7965,7160,7986,8564,7666,2,0,7,43,23,0,5,0,3,1,0,0,0,0,3,0,0,6,8,11,0,0,0,1,0,0,0,1,1,0,0,0,6,53,617,82,86
"G0100130","Alabama","01","010","Butler County","013","0130",13174,13255,13049,12492,11399,8820,8397,8798,8732,9095,3,14,24,41,58,1,6,0,4,0,1,0,0,4,11,4,0,3,5,6,1,0,4,2,109,2,0,0,0,0,1,8,14,31,106,84,161
"G0100150","Alabama","01","010","Calhoun County","015","0150",85186,97382,92873,88537,88840,17584,21005,21578,20810,24382,85,283,293,422,520,51,63,85,59,57,19,52,49,59,108,29,84,73,77,123,17,206,332,214,165,11,35,13,12,17,110,651,738,950,2350,1081,1975
"G0100170","Alabama","01","010","Chambers County","017","0170",23695,25286,23575,22271,20112,12637,13894,13221,13943,13257,10,5,40,40,67,2,0,2,4,8,0,0,3,10,15,3,0,4,12,22,2,0,2,7,66,2,6,0,0,7,5,0,29,78,274,209,385
"G0100190","Alabama","01","010","Cherokee County","019","0190",14199,17168,18154,22268,24081,1393,1550,1291,1330,1208,4,25,50,74,132,1,12,3,2,3,0,0,0,5,14,2,0,4,11,20,1,0,2,4,0,4,0,0,0,1,2,5,39,88,141,198,387
"G0100210","Alabama","01","010","Chilton County","021","0210",21762,26940,28647,34330,36713,3410,3631,3674,4200,4230,4,0,62,106,151,1,8,7,7,10,0,0,1,14,19,0,33,15,25,33,2,0,1,9,6,0,0,0,0,2,1,0,51,622,1969,275,506
"G0100230","Alabama","01","010","Choctaw County","023","0230",9276,9505,8913,8779,7731,7309,7319,7077,7027,6012,0,8,10,22,17,0,0,1,2,3,0,0,1,0,0,2,0,0,0,4,0,7,2,0,1,0,0,2,0,0,2,0,12,22,32,67,58
"G0100250","Alabama","01","010","Clarke County","025","0250",15008,15764,15527,15589,14070,11701,11827,11625,11989,11336,8,87,45,56,100,1,0,11,4,5,0,0,0,18,20,2,7,2,2,5,3,0,4,8,3,0,0,1,1,2,1,17,25,58,112,136,176
"G0100270","Alabama","01","010","Clay County","027","0270",10578,11427,11044,11776,11380,2041,2268,2166,2238,2066,5,8,22,41,54,2,0,2,1,0,2,0,0,2,5,6,0,0,4,5,0,0,0,1,0,1,0,2,1,0,1,0,16,77,187,112,235
"G0100290","Alabama","01","010","Cleburne County","029","0290",10346,11918,12084,13380,14079,640,647,587,523,498,6,0,19,35,49,1,13,8,6,6,0,0,0,0,1,1,0,2,1,5,0,5,2,6,3,0,0,0,0,0,2,12,28,56,169,109,160
"G0100310","Alabama","01","010","Coffee County","031","0310",28853,31657,32702,33631,37330,5965,6532,6917,8013,8359,20,115,161,372,619,10,32,32,36,43,0,0,16,31,54,3,0,23,50,131,7,82,156,181,244,2,0,18,16,22,12,115,215,526,1864,730,1247
"G0100330","Alabama","01","010","Colbert County","033","0330",41105,45254,42820,44825,43789,8480,9146,8568,9137,8768,20,63,137,196,264,11,5,12,7,13,0,0,16,26,40,1,0,3,9,37,1,0,12,8,12,3,2,0,6,8,11,49,98,274,648,487,845
"G0100350","Alabama","01","010","Conecuh County","035","0350",8654,9332,8063,7806,6788,6986,6534,5925,6136,6149,2,18,43,26,44,0,0,2,0,0,0,0,0,0,4,1,0,2,5,5,0,0,1,2,2,0,0,1,6,0,2,0,17,21,104,84,132
"G0100370","Alabama","01","010","Coosa County","037","0370",6906,7420,7242,7802,7648,3736,3950,3782,4172,3582,7,0,34,33,39,0,0,0,1,2,6,0,0,1,3,1,0,0,1,5,1,0,0,0,2,2,7,0,0,0,3,0,5,79,154,107,103
"G0100390","Alabama","01","010","Covington County","039","0390",29015,31867,31551,32436,32022,5043,4845,4777,4648,4716,7,22,72,172,212,5,2,8,6,4,0,8,6,13,28,1,0,1,16,20,0,49,12,8,29,0,0,0,1,1,8,57,51,89,204,233,522
"G0100410","Alabama","01","010","Crenshaw County","041","0410",9386,10399,10048,10088,10097,3779,3693,3544,3388,3254,5,0,24,45,53,0,0,0,1,1,2,0,0,0,0,0,0,2,3,9,2,6,3,2,158,2,7,0,0,0,12,5,14,40,128,95,202
"G0100430","Alabama","01","010","Cullman County","043","0430",51872,60894,66744,75011,76133,521,550,560,743,856,20,103,134,267,400,13,5,12,13,63,2,0,15,28,65,2,5,9,17,55,1,17,38,39,27,1,0,2,13,8,13,68,99,534,1898,795,889
"G0100450","Alabama","01","010","Dale County","045","0450",45817,38832,39365,36541,37236,6448,7828,8847,10002,9679,77,348,234,267,363,138,104,105,80,60,28,14,23,23,33,55,52,90,77,89,68,199,273,234,169,30,38,42,30,23,277,406,654,783,1079,1054,1505
"G0100470","Alabama","01","010","Dallas County","047","0470",26330,24399,20121,16496,12769,28892,29488,27825,29332,30423,18,7,41,46,85,10,0,10,11,10,6,10,10,10,11,8,0,1,11,14,3,0,9,19,6,1,10,0,0,2,28,67,113,178,200,255,299
"G0100490","Alabama","01","010","DeKalb County","049","0490",41123,52497,52980,59652,60087,821,962,1028,1083,1078,16,120,480,500,957,6,0,19,7,15,0,6,6,11,20,5,4,18,48,60,7,0,6,8,10,1,9,6,4,9,2,60,108,2075,7281,1041,1574
"G0100510","Alabama","01","010","Elmore County","051","0510",24045,33610,37850,50737,60455,9454,9655,11039,13597,15900,11,34,134,255,281,9,30,15,23,19,2,0,3,19,34,8,7,25,35,78,0,0,16,29,82,3,15,7,6,13,3,39,121,453,1283,685,1144
"G0100530","Alabama","01","010","Escambia County","053","0530",23748,26051,24326,24754,23784,10601,11376,10046,11837,12220,541,955,1047,1104,1272,0,6,2,2,6,0,0,5,17,21,2,6,6,22,22,2,4,14,12,3,4,6,1,5,5,8,36,71,199,384,434,580
"G0100550","Alabama","01","010","Etowah County","055","0550",81010,88526,85274,85737,83823,13044,13773,13799,15191,15796,28,486,243,321,437,25,65,191,51,40,2,2,61,62,126,9,11,29,45,93,6,13,23,47,30,1,7,4,3,5,19,174,216,1009,2511,963,1545
"G0100570","Alabama","01","010","Fayette County","057","0570",13989,16379,15717,16075,14910,2254,2372,2190,2207,1969,1,0,9,35,51,0,0,6,5,3,0,37,0,6,10,0,7,4,10,10,1,0,6,1,2,1,9,1,0,0,6,5,29,58,114,95,171
"G0100590","Alabama","01","010","Franklin County","059","0590",22728,26994,26463,28001,26320,1198,1301,1249,1314,1228,1,30,57,93,214,1,0,0,0,0,0,0,0,3,13,1,0,24,17,24,2,0,0,3,4,0,0,0,0,0,2,25,21,1483,3370,299,530
"G0100610","Alabama","01","010","Geneva County","061","0610",19029,21002,20682,22442,23127,2866,3097,2824,2743,2539,24,123,91,184,223,1,8,3,2,3,0,0,0,0,15,1,0,1,7,12,0,2,5,4,3,0,10,0,3,5,3,11,41,181,446,185,416
"G0100630","Alabama","01","010","Greene County","063","0630",2619,2425,1966,1904,1575,8027,8596,8181,8013,7370,1,0,3,12,17,0,0,0,0,0,0,0,0,0,1,3,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,3,18,30,27,43
"G0100650","Alabama","01","010","Hale County","065","0650",5336,5758,6255,6844,6266,10542,9799,9214,10131,9301,2,0,20,22,22,2,0,1,7,2,1,0,0,0,10,1,6,1,18,12,2,0,2,0,4,2,19,0,0,0,0,22,5,56,51,99,88
"G0100670","Alabama","01","010","Henry County","067","0670",7907,9485,9918,10710,11865,5341,5799,5395,5268,4942,2,0,30,34,56,2,0,0,1,3,1,0,0,0,15,0,0,1,4,2,0,6,1,2,6,1,0,4,0,1,0,12,25,170,235,121,176
"G0100690","Alabama","01","010","Houston County","069","0690",43069,57517,61513,64886,71053,13408,16464,18954,21840,26176,38,260,287,304,430,35,67,107,79,92,2,33,44,83,92,3,0,30,32,90,4,28,28,58,81,0,0,7,8,11,15,263,361,636,1741,820,1759
"G0100710","Alabama","01","010","Jackson County","071","0710",37175,48985,44696,49552,48348,1980,2090,1968,2019,1781,22,270,1019,898,710,10,15,13,14,7,1,5,5,21,27,4,0,14,15,44,1,0,10,11,12,0,0,1,3,0,9,42,70,264,910,1077,1378
"G0100730","Alabama","01","010","Jefferson County","073","0730",437433,444359,418317,384639,349166,206464,223716,228521,260608,276525,371,752,853,1326,1691,205,189,200,271,273,112,299,916,1760,2169,94,110,221,334,598,70,231,405,611,702,37,128,29,43,45,205,1540,2063,6986,19866,5326,7275
"G0100750","Alabama","01","010","Lamar County","075","0750",12366,14435,13805,13816,12626,1955,1997,1862,1906,1643,0,7,24,17,22,5,2,0,1,0,0,0,1,1,1,3,2,5,4,1,5,2,2,1,1,0,0,0,0,0,1,8,16,76,86,81,183
"G0100770","Alabama","01","010","Lauderdale County","077","0770",60866,72271,71560,77743,80112,7196,7747,7695,8663,9257,9,238,163,212,321,19,17,14,25,79,0,52,48,80,220,1,45,14,28,51,8,36,28,26,27,0,0,9,11,5,12,140,130,467,1314,696,1306
"G0100790","Alabama","01","010","Lawrence County","079","0790",22161,25021,24563,27067,26647,5114,5074,4798,4648,3938,1,59,2124,1814,1931,1,13,3,4,2,0,0,0,10,8,0,0,6,8,8,2,0,1,1,2,1,0,0,0,3,1,3,18,126,300,1071,1478
"G0100810","Alabama","01","010","Lee County","081","0810",44109,57011,64889,85247,100006,17012,18646,20407,26071,31901,11,118,122,259,437,9,12,57,69,102,69,147,528,621,880,3,23,78,87,149,10,33,167,262,1189,1,3,2,8,24,44,290,896,1347,3238,1069,2259
"G0100830","Alabama","01","010","Limestone County","083","0830",34528,39207,46658,55029,66506,7123,6585,7127,8752,10429,9,74,146,284,534,10,44,21,35,51,0,0,16,10,142,0,5,13,32,96,0,24,17,35,181,0,0,4,3,8,29,66,133,878,3355,599,1468
"G0100850","Alabama","01","010","Lowndes County","085","0850",2976,3309,3185,3484,2859,9917,9937,9456,9885,8310,1,7,9,13,25,0,0,1,2,3,1,0,0,0,1,1,0,2,5,3,0,0,1,0,2,0,0,0,0,0,1,0,4,28,36,54,60
"G0100870","Alabama","01","010","Macon County","087","0870",4545,4079,3443,3365,3319,20147,22579,21340,20403,17729,8,0,24,36,28,4,16,1,0,0,28,0,2,7,14,11,0,3,1,1,6,0,0,1,3,0,6,1,0,2,92,149,114,114,127,175,228
"G0100890","Alabama","01","010","Madison County","089","0890",157804,155087,184197,199401,228280,27997,38999,48116,63025,80376,111,677,1583,2038,2511,152,193,330,320,395,169,301,903,1118,1560,65,135,258,344,634,47,391,944,1038,1577,17,11,76,48,74,178,1172,2505,3988,10967,5218,8255
"G0100910","Alabama","01","010","Marengo County","091","0910",10640,11681,11314,10657,9751,13157,13346,11745,11655,10872,6,0,11,18,34,3,0,0,0,2,1,0,0,8,12,7,6,2,11,6,3,0,8,5,7,0,14,1,2,4,2,0,3,75,174,107,164
"G0100930","Alabama","01","010","Marion County","093","0930",23106,29204,28759,29579,28791,662,734,967,1134,1184,10,29,56,89,101,0,12,7,8,7,7,49,1,6,8,1,0,2,24,17,0,0,1,2,2,1,0,0,0,0,1,13,37,153,324,217,341
"G0100950","Alabama","01","010","Marshall County","095","0950",53037,64428,69361,76791,81464,1093,1013,1087,1207,1494,14,68,228,402,697,9,0,9,15,16,2,7,18,42,53,16,0,20,42,80,17,11,22,23,35,8,0,2,1,4,15,95,85,2776,7592,900,1564
"G0100970","Alabama","01","010","Mobile County","097","0970",214070,246610,254853,252199,248647,102383,114983,117872,133465,142992,346,1290,1918,2482,3609,88,175,187,174,207,61,124,377,564,684,95,230,283,291,687,24,96,133,189,223,17,87,37,28,62,224,1385,2983,5987,9618,4168,6022
"G0100990","Alabama","01","010","Monroe County","099","0990",11314,12779,14320,14047,12718,9497,9742,9372,9747,9614,60,130,215,232,253,1,0,7,1,2,1,0,0,13,4,6,0,2,13,11,0,0,4,6,5,0,0,0,0,0,4,0,48,68,119,191,334
"G0101010","Alabama","01","010","Montgomery County","101","1010",106670,118042,119420,109180,90656,60771,77775,87312,108583,125477,117,162,387,467,583,72,108,137,125,135,24,45,212,402,465,30,125,205,278,312,24,136,227,253,1818,10,41,19,24,23,72,604,1166,1955,6916,2103,2906
"G0101030","Alabama","01","010","Morgan County","103","1030",70004,81198,89122,94485,95404,7232,8725,10081,12485,14185,31,80,307,698,1020,20,6,39,99,66,2,26,46,72,121,6,0,53,62,95,0,27,36,48,43,4,5,1,8,17,7,164,358,1671,6140,1386,2364
"G0101050","Alabama","01","010","Perry County","105","1050",6332,5969,4503,3660,3204,9033,9019,8219,8111,7276,14,0,16,8,17,2,0,3,0,0,4,14,0,0,7,2,0,4,1,6,1,3,1,1,0,0,0,1,0,0,0,7,12,15,38,64,43
"G0101070","Alabama","01","010","Pickens County","107","1070",11854,12456,12002,11720,11110,8466,8978,8645,8999,8211,4,28,24,23,28,1,0,8,4,6,0,0,1,1,1,0,0,1,7,4,0,0,1,0,1,0,6,1,2,1,1,13,16,60,152,131,232
"G0101090","Alabama","01","010","Pike County","109","1090",16367,18160,17814,17990,19144,8642,9825,9548,10835,12054,5,41,144,167,188,20,0,10,3,17,2,6,13,30,337,1,6,6,5,10,0,4,15,26,55,0,5,0,2,5,1,3,45,117,591,400,490
"G0101110","Alabama","01","010","Randolph County","111","1110",14245,15166,15138,17094,17532,4075,4869,4686,4977,4607,5,30,29,44,77,2,10,4,1,1,0,0,0,3,11,0,0,6,15,20,2,0,7,1,0,1,0,0,0,0,1,0,11,106,397,138,261
"G0101130","Alabama","01","010","Russell County","113","1130",24599,28504,28473,28209,28449,20757,18656,18088,20319,22135,13,65,85,167,210,10,36,14,13,17,3,7,3,16,23,3,13,13,45,83,2,5,27,45,40,1,11,5,2,23,6,59,152,385,854,533,1104
"G0101170","Alabama","01","010","Shelby County","117","1170",31568,59034,90715,128671,161943,6416,6888,7718,10606,20732,26,158,257,439,537,11,12,43,60,290,2,95,153,317,583,3,21,39,136,243,3,10,105,223,458,0,0,3,6,9,8,80,325,1757,7553,1027,2684
"G0101150","Alabama","01","010","St. Clair County","115","1150",24043,36925,45138,58288,73741,3896,4126,4561,5263,7150,7,86,135,220,274,4,8,8,8,30,0,6,6,17,77,3,9,16,28,77,1,5,9,10,32,0,8,3,2,6,2,32,133,331,1064,553,1123
"G0101190","Alabama","01","010","Sumter County","119","1190",5724,5120,4759,3836,3326,11242,11711,11369,10827,10316,2,0,6,13,11,0,9,5,2,1,2,0,4,1,8,0,0,5,2,1,1,0,0,0,0,1,8,1,1,1,2,60,25,37,49,77,47
"G0101210","Alabama","01","010","Talladega County","121","1210",45180,50974,50970,53830,53739,20020,22745,22773,25339,26055,34,40,172,168,257,6,24,7,23,11,14,0,24,50,72,2,0,3,18,58,4,0,24,14,24,0,0,2,5,2,20,43,132,288,965,570,1101
"G0101230","Alabama","01","010","Tallapoosa County","123","1230",24465,28005,28493,30474,29087,9356,10461,10212,10518,11083,12,24,62,97,117,3,2,3,7,0,0,0,3,12,40,1,0,4,9,16,0,9,10,11,71,0,5,0,0,0,3,170,39,109,790,226,407
"G0101250","Alabama","01","010","Tuscaloosa County","125","1250",87891,99525,109398,112320,129004,27972,37426,39377,48327,57611,24,90,246,327,516,35,40,166,166,82,37,64,318,524,653,6,72,92,129,214,23,56,192,198,311,2,5,7,12,7,39,263,726,1460,4127,1357,2099
"G0101270","Alabama","01","010","Walker County","127","1270",51635,63595,63042,65163,61146,4567,4813,4405,4364,3928,21,135,80,190,241,7,10,10,5,5,2,7,9,20,25,6,0,12,9,26,1,5,33,35,32,1,34,7,8,4,6,61,72,297,775,610,828
"G0101290","Alabama","01","010","Washington County","129","1290",11315,11315,10984,11759,11508,4860,4726,4623,4867,4380,63,778,1067,1226,1404,1,2,5,0,1,0,0,0,0,1,0,0,3,6,9,0,0,2,2,2,0,0,2,2,1,2,0,8,14,61,158,207
"G0101310","Alabama","01","010","Wilcox County","131","1310",5140,4580,4203,3626,3126,11160,10151,9353,9479,8465,1,4,6,15,13,0,0,2,2,2,0,0,0,0,0,0,20,0,0,0,1,0,0,1,1,0,0,2,2,0,1,0,2,22,12,25,51
"G0101330","Alabama","01","010","Winston County","133","1330",16594,21744,21925,24177,23409,51,145,57,94,115,3,35,41,105,160,1,0,4,3,4,0,0,5,4,14,0,5,5,8,20,0,0,1,5,7,0,6,0,1,2,5,18,15,236,397,201,353
"G0200100","Alaska","02","020","Aleutian Islands","010","0100",5564,4887,,,,237,327,,,,61,115,,,,21,42,,,,7,33,,,,135,348,,,,30,21,,,,1972,8,,,,30,1987,,,,,
"G0200130","Alaska","02","020","Aleutians East Borough","013","0130",,,827,646,660,,,16,45,219,,,34,115,174,,,6,4,15,,,6,2,3,,,396,656,1041,,,17,2,2,,,6,5,3,,,1156,1082,851,79,153
"G0200160","Alaska","02","020","Aleutians West Census Area","016","0160",,,6360,2188,2004,,,662,165,332,,,104,159,122,,,61,34,26,,,20,3,8,,,700,906,1395,,,22,14,17,,,24,5,10,,,1525,1718,1322,189,311
"G0200200","Alaska","02","020","Anchorage Municipality","020","0200",112965,149765,182736,188009,192498,5147,9389,14544,15199,16226,1775,4186,5985,9168,12653,471,920,1352,899,802,136,370,783,870,1190,425,1194,3199,5805,9718,2282,998,3064,3432,3570,738,279,491,410,557,603,7330,14184,18651,29280,15575,23645
"G0200300","Alaska","02","020","Angoon","030","0300",114,,,,,0,,,,,371,,,,,0,,,,,0,,,,,4,,,,,2,,,,,10,,,,,2,,,,,,
"G0200400","Alaska","02","020","Barrow","040","0400",330,,,,,14,,,,,10,,,,,1,,,,,2,,,,,0,,,,,2302,,,,,1,,,,,3,,,,,,
"G0200500","Alaska","02","020","Bethel Census Area","050","0500",747,1602,2105,2006,1894,24,52,62,61,65,65,300,329,3095,1890,4,8,7,2,0,0,0,7,12,12,24,20,12,21,28,6669,2,43,116,99,18,0,8,6,10,28,9015,11083,9691,12217,617,713
"G0200600","Alaska","02","020","Bristol Bay Borough","060","0600",922,656,894,661,481,31,46,38,7,0,20,18,68,109,36,1,0,2,1,0,1,7,3,0,0,0,0,2,2,5,35,0,0,0,2,131,0,0,2,1,6,367,403,411,285,30,167
"G0200620","Alaska","02","020","Bristol Bay Division","062","0620",671,,,,,5,,,,,272,,,,,13,,,,,0,,,,,14,,,,,1656,,,,,835,,,,,19,,,,,,
"G0200800","Alaska","02","020","Cordova-McCarthy","080","0800",1529,,,,,2,,,,,49,,,,,3,,,,,0,,,,,35,,,,,12,,,,,223,,,,,4,,,,,,
"G0200680","Alaska","02","020","Denali Borough","068","0680",,,,1623,1637,,,,27,10,,,,82,53,,,,5,2,,,,1,2,,,,8,11,,,,5,0,,,,5,1,,,,28,28,99,80
"G0200700","Alaska","02","020","Dillingham Census Area","070","0700",,1060,1019,1065,878,,0,8,18,11,,296,57,486,342,,0,10,4,6,,3,0,7,2,,8,3,10,13,,0,6,3,7,,0,3,0,2,,3249,2906,2657,3106,329,438
"G0200900","Alaska","02","020","Fairbanks North Star Borough","090","0900",40933,46325,63751,64439,75175,2580,3039,5553,4843,4423,1020,1804,3663,4167,5531,107,312,196,137,250,42,64,274,245,413,45,65,399,477,809,802,304,560,480,450,54,29,106,72,81,281,2041,3218,3048,3580,4465,6671
"G0201000","Alaska","02","020","Haines Borough","100","1000",1175,1434,1802,1974,2086,0,9,1,3,10,315,201,263,232,221,1,0,2,3,3,0,0,3,1,1,0,0,2,3,2,3,0,5,3,1,4,0,0,2,0,6,36,39,33,36,111,147
"G0201050","Alaska","02","020","Hoonah-Angoon Census Area","105","1050",,,,,1014,,,,,8,,,,,844,,,,,2,,,,,4,,,,,3,,,,,1,,,,,1,,,,,32,,219
"G0201100","Alaska","02","020","Juneau City and Borough","110","1100",11422,16699,21570,22969,21814,106,82,292,248,279,1477,1974,3224,2987,3380,27,12,92,83,64,3,6,68,86,103,283,350,745,1050,1423,110,9,69,85,93,70,0,38,28,22,58,396,653,744,958,2121,2967
"G0201220","Alaska","02","020","Kenai Peninsula Borough","122","1220",,23181,37089,42841,46857,,93,203,229,269,,892,1374,2218,2514,,56,78,73,54,,10,20,55,72,,95,129,174,286,,34,59,120,76,,17,75,48,64,,904,1775,1664,1964,1927,3107
"G0201200","Alaska","02","020","Kenai-Cook Inlet","120","1200",13047,,,,,105,,,,,478,,,,,20,,,,,0,,,,,81,,,,,103,,,,,382,,,,,34,,,,,,
"G0201300","Alaska","02","020","Ketchikan Gateway Borough","130","1300",8527,9576,11316,10460,9176,44,28,55,70,78,1179,1352,1790,1890,1753,30,21,42,22,26,1,9,10,18,39,126,219,385,503,783,22,2,17,19,23,59,8,11,5,9,53,101,202,180,239,744,1250
"G0201400","Alaska","02","020","Kobuk","140","1400",534,696,,,,5,5,,,,8,28,,,,1,2,,,,0,0,,,,0,0,,,,3869,0,,,,0,0,,,,17,4100,,,,,
"G0201500","Alaska","02","020","Kodiak Island Borough","150","1500",7215,7110,9289,8304,7522,157,89,135,134,92,106,117,268,397,385,41,21,52,41,62,1,19,37,25,23,183,592,1191,2016,2357,56,88,79,36,37,1582,12,39,28,20,68,1891,2219,2116,1991,718,1037
"G0201600","Alaska","02","020","Kuskokwim","160","1600",584,,,,,35,,,,,745,,,,,10,,,,,0,,,,,1,,,,,924,,,,,4,,,,,3,,,,,,
"G0201640","Alaska","02","020","Lake and Peninsula Borough","164","1640",,,389,342,380,,,0,1,9,,,293,411,274,,,0,0,0,,,1,0,0,,,8,3,6,,,0,1,0,,,3,2,0,,,974,892,785,127,164
"G0201700","Alaska","02","020","Matanuska-Susitna Borough","170","1700",6189,16872,36949,51938,75540,12,52,307,411,856,138,306,895,1693,2973,4,11,41,40,91,3,0,34,60,94,1,11,91,138,410,91,41,51,86,151,43,4,29,32,89,28,519,1286,1865,2858,2712,5741
"G0201800","Alaska","02","020","Nome Census Area","180","1800",1205,1306,2023,1777,1552,27,16,9,35,27,19,58,87,603,1148,16,2,5,2,3,1,0,2,3,2,0,2,1,6,19,4448,3,16,20,26,4,2,1,1,1,29,5148,6144,6186,6118,387,587
"G0201850","Alaska","02","020","North Slope Borough","185","1850",,916,1274,1262,3147,,14,41,53,94,,27,85,551,1051,,2,9,1,2,,4,16,6,11,,12,209,321,273,,6,9,39,51,,4,28,14,17,,3214,4308,4334,4269,484,493
"G0201880","Alaska","02","020","Northwest Arctic Borough","188","1880",,,841,888,846,,,12,15,37,,,78,608,775,,,7,8,1,,,4,3,3,,,1,16,9,,,27,30,18,,,2,2,5,,,5141,4652,5362,267,448
"G0201900","Alaska","02","020","Outer Ketchikan","190","1900",757,,,,,5,,,,,820,,,,,15,,,,,1,,,,,11,,,,,37,,,,,13,,,,,17,,,,,,
"G0201950","Alaska","02","020","Petersburg Census Area","195","1950",,,,,2711,,,,,15,,,,,593,,,,,13,,,,,11,,,,,37,,,,,7,,,,,1,,,,,87,,326
"G0202000","Alaska","02","020","Prince Of Wales","200","2000",1497,,,,,6,,,,,567,,,,,0,,,,,0,,,,,1,,,,,12,,,,,8,,,,,15,,,,,,
"G0201980","Alaska","02","020","Prince of Wales-Hyder Census Area","198","1980",,,,,2799,,,,,17,,,,,2106,,,,,1,,,,,1,,,,,14,,,,,1,,,,,10,,,,,92,,474
"G0202010","Alaska","02","020","Prince Of Wales-Outer Ketchikan","201","2010",,2070,3859,3265,,,40,9,9,,,1575,2306,2133,,,0,2,1,,,0,0,3,,,8,7,13,,,0,6,2,,,1,0,3,,,128,89,75,,439,
"G0202100","Alaska","02","020","Seward","210","2100",2067,,,,,4,,,,,56,,,,,4,,,,,0,,,,,12,,,,,101,,,,,89,,,,,3,,,,,,
"G0202200","Alaska","02","020","Sitka City and Borough","220","2200",4611,5836,6359,6052,5798,36,30,39,28,47,1169,1558,1588,1413,1327,40,97,30,14,27,8,0,18,15,16,53,133,243,259,414,83,0,14,15,20,89,5,7,2,10,20,144,290,233,271,665,871
"G0202300","Alaska","02","020","Skagway Municipality","230","2300",1338,,,,885,0,,,,0,752,,,,28,5,,,,1,0,,,,1,8,,,,1,30,,,,1,14,,,,1,10,,,,11,,39
"G0202320","Alaska","02","020","Skagway-Hoonah-Angoon","232","2320",,,,1998,,,,,5,,,,,1106,,,,,2,,,,,2,,,,,5,,,,,2,,,,,3,,,,,65,,179,
"G0202310","Alaska","02","020","Skagway-Yakutat-Angoon","231","2310",,1958,2649,,,,0,7,,,,1389,1598,,,,0,6,,,,0,1,,,,8,5,,,,6,3,,,,0,6,,,,117,110,,,,
"G0202400","Alaska","02","020","Southeast Fairbanks Census Area","240","2400",3418,4495,4670,4877,5651,208,293,290,122,76,479,671,712,727,747,13,10,13,6,4,7,7,1,2,8,15,27,9,9,24,20,53,44,16,13,4,40,2,0,15,15,80,172,85,141,294,343
"G0202500","Alaska","02","020","Upper Yukon","250","2500",588,,,,,13,,,,,907,,,,,2,,,,,0,,,,,1,,,,,163,,,,,7,,,,,3,,,,,,
"G0202600","Alaska","02","020","Valdez-Chitina-Whittier","260","2600",2378,,,,,9,,,,,413,,,,,3,,,,,0,,,,,0,,,,,110,,,,,178,,,,,7,,,,,,
"G0202610","Alaska","02","020","Valdez-Cordova Census Area","261","2610",,7091,8247,7738,7127,,37,57,33,46,,550,707,764,904,,12,17,7,9,,2,23,22,24,,53,203,256,266,,13,7,23,14,,6,42,16,16,,584,649,679,499,569,694
"G0202700","Alaska","02","020","Wade Hampton Census Area","270","2700",231,240,346,333,201,12,0,12,4,1,17,14,33,1091,876,0,0,0,0,0,0,0,5,2,1,0,2,9,0,9,3650,0,3,1,0,4,0,2,2,0,3,4409,5381,5295,6199,177,151
"G0202750","Alaska","02","020","Wrangell City and Borough","275","2750",,,,,1719,,,,,4,,,,,350,,,,,6,,,,,11,,,,,13,,,,,2,,,,,0,,,,,31,,223
